name,category ,desc
responsive,national,"Nondisp fx of lateral end unsp clavicle, 7thP"
flexibility,static,"Sublux of distal interphaln joint of left thumb, sequela"
context-sensitive,tangible,"Other dislocation of right wrist and hand, initial encounter"
Down-sized,projection,"Maternal care for oth rhesus isoimmun, first trimester, oth"
User-centric,impactful,"Respiratory failure, unspecified with hypoxia"
time-frame,foreground,"Recurrent dislocation, left knee"
extranet,Front-line,"Unsp car occupant injured in nonclsn trnsp acc nontraf, init"
local area network,knowledge base,"Milt op w indirect blast effect of nuclear weapon, milt"
flexibility,hub,"Avulsion of right eye, initial encounter"
middleware,Total,"Joint derangement, unspecified"
archive,zero administration,"Path fracture in neoplastic disease, right femur, init"
standardization,Networked,Corrosion of third degree of chest wall
scalable,local area network,"Inj intercostal blood vessels, unsp side, init encntr"
Face to face,Decentralized,"Dislocation of L2/L3 lumbar vertebra, sequela"
real-time,Quality-focused,"Inj unsp musc/fasc/tend at forearm level, right arm"
static,array,"Oth fx left femur, subs for opn fx type I/2 w malunion"
client-server,holistic,"Puncture wound without foreign body, unspecified knee"
full-range,Profound,"Hydroxyapatite deposition disease, right wrist"
standardization,Cross-group,"Oth incomplete lesion at T2-T6, subs"
capacity,Total,West Nile virus infection with encephalitis
projection,mission-critical,"Fall in (into) shower or empty bathtub, subsequent encounter"
Distributed,Graphical User Interface,"Unspecified injury of bronchus, bilateral"
toolset,function,"Superficial foreign body, right knee, sequela"
Customizable,attitude,Dysphasia following nontraumatic subarachnoid hemorrhage
framework,matrix,"Low-tension glaucoma, left eye, moderate stage"
scalable,attitude,"Retained foreign body in unspecified eye, unspecified eyelid"
disintermediate,dynamic,Pressure ulcer of back
Horizontal,customer loyalty,"Open bite of right buttock, initial encounter"
motivating,object-oriented,"Fall d/t clsn betw oth pwr wtrcrft and oth wtrcrft/obj, init"
directional,upward-trending,Acute embolism and thrombosis of superior vena cava
Persistent,initiative,Pt unintent undrdose of meds regimen due to age-rel debility
demand-driven,focus group,"Low-tension glaucoma, right eye, severe stage"
Profound,Cloned,Pedal cycle rider injured in collision w statnry object
clear-thinking,web-enabled,"Injury of radial nerve at forearm level, unspecified arm"
Automated,concept,"Pathological dislocation of hip, not elsewhere classified"
encryption,Synergized,"Female friend of parent, perp of maltreat and neglect"
User-friendly,neutral,"Disp fx of shaft of oth metacarpal bone, init for clos fx"
Automated,hierarchy,"Superficial frostbite of unsp hip and thigh, init encntr"
encryption,Vision-oriented,"Oth fx shaft of left fibula, subs for clos fx w nonunion"
tangible,Business-focused,Other chest pain
mission-critical,De-engineered,Unspecified dislocation of right acromioclavicular joint
systemic,Extended,"Displ seg fx shaft of ulna, l arm, 7thG"
attitude,concept,"Corrosion of unsp degree of unspecified wrist, init encntr"
user-facing,client-server,"Nondisp fx of lateral condyle of unsp femr, 7thQ"
strategy,service-desk,"Other specified fracture of unspecified acetabulum, sequela"
Re-contextualized,toolset,"Mech compl of GI prosthetic devices, implants and"
knowledge user,coherent,"Person outside car injured in clsn w ped/anml in traf, subs"
encompassing,Advanced,Besnier's prurigo
Progressive,coherent,"Poisoning by penicillins, accidental, sequela"
Multi-channelled,Implemented,Cerebral infrc due to thombos of left middle cerebral artery
dedicated,fault-tolerant,"Occ of anml-drn vehicle injured in clsn w pedl cyc, sequela"
initiative,dedicated,"Sltr-haris Type IV physeal fx left metatarsal, sequela"
intranet,portal,"Oth disrd of synovium and tendon, unspecified elbow"
complexity,asymmetric,Diab d/t undrl cond w mild nonprlf diab rtnop w/o mclr edema
Face to face,Mandatory,"Complete traumatic amputation of unsp foot, level unsp, subs"
Monitored,Organic,Inj extensor musc/fasc/tend l mid finger at forearm level
solution,hub,"Oth nondisp fx of sixth cervcal vert, 7thD"
high-level,toolset,"Poisoning by enzymes, undetermined, sequela"
4th generation,asymmetric,"Open bite, unspecified foot"
leverage,clear-thinking,"Central subluxation of left hip, sequela"
Implemented,Vision-oriented,"Partial traumatic MCP amputation of l little finger, sequela"
Re-contextualized,Enhanced,Pre-excitation syndrome
Upgradable,Multi-lateral,"Bent bone of right ulna, subs for clos fx w delay heal"
core,directional,Postproc hemor of right eye and adnexa fol other procedure
