title,genra_ID,poem
"Desert of the Tartars, The (Deserto dei Tartari, Il)",6,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
Japon (a.k.a. Japan) (Japón),7,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
Sometimes They Come Back... for More,8,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
Walker,9,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
Irreversible (Irréversible),10,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
"Employment, The (Empleo, El)",11,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
Flying Home,12,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
"Moth, The (Cma)",13,integer ac neque duis bibendum morbi non quam nec dui
Eva (a.k.a. Eve),14,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
Alila,15,eleifend luctus ultricies eu nibh quisque id justo sit amet
"Fighting Prince of Donegal, The",16,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
"Heavenly Body, The",17,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
Flashbacks of a Fool,18,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
Wishmaster 3: Beyond the Gates of Hell,19,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
Beneath the Valley of the Ultra-Vixens,20,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
Return to the 36th Chamber (Shao Lin da peng da shi) ,21,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu
Pusher II: With Blood on My Hands,22,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
Win a Date with Tad Hamilton!,23,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
Somebody to Love,24,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
Living on One Dollar,25,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus
Angel Dog,26,vestibulum proin eu mi nulla ac enim in tempor turpis
"Pink Panther, The",27,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
"Clap, You're Dead",28,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
Pop Redemption,29,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
Wheel of Time,30,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
Not Without My Daughter,31,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
"Big Chill, The",32,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
S.F.W.,33,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
"Ladies Man, The",34,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
Going the Distance,35,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede
Down Argentine Way,36,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
Get on the Bus,37,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
Abraham's Valley (Vale Abraão),38,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
Babbitt,39,neque sapien placerat ante nulla justo aliquam quis turpis eget elit
Faces of Death,40,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
Johnny Be Good,41,turpis enim blandit mi in porttitor pede justo eu massa
"Creation of the Humanoids, The",42,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
True Stories,43,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien
Vanishing Point,44,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat
"Devil Bat, The",45,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat
Professor Layton and the Eternal Diva (Eiga Reiton-kyôju to eien no utahime),46,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
Guinevere,47,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed
Nobody,48,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
Family Life,49,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
Little Darlings,50,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
Fear Over the City,51,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
American Hardcore,52,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
Little Nemo: Adventures in Slumberland,53,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
"Seventh Heaven (Septième ciel, Le)",54,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
"Duellists, The",55,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
Class of Nuke 'Em High Part II: Subhumanoid Meltdown,56,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
Superman Returns,57,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
Heart of Dragon (Long de xin),58,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
Practical Magic,59,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
Film Noir: Bringing Darkness to Light,60,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
Sound of Noise,61,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
Pure One (Pakeezah),62,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
Set Me Free (Emporte-moi),63,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
Gross Anatomy (a.k.a. A Cut Above),64,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet
Break Up,65,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla
Rated X,66,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
On the Threshold (Lars i porten),67,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
Before Night Falls,68,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
Picture Bride (Bijo photo),69,quis lectus suspendisse potenti in eleifend quam a odio in hac
Elena Undone,70,lectus suspendisse potenti in eleifend quam a odio in hac habitasse
Superman Unbound,71,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
Lady Killer,72,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
8 Women,73,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
"Librarian: Return to King Solomon's Mines, The",74,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
47  Ronin (Shijûshichinin no shikaku),75,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at
Room in Rome (Habitación en Roma),76,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
True Confession,77,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
"Pig's Tale, A",78,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
Fright Night 2: New Blood,79,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
Bus 174 (Ônibus 174),80,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
Madame Satã,81,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
EXPO: Magic of the White City,82,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
Clara and Me (Clara et moi),83,volutpat in congue etiam justo etiam pretium iaculis justo in
All Together,84,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
"Stand, The",85,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
Intermezzo,86,felis sed interdum venenatis turpis enim blandit mi in porttitor
Same Old Song (On connaît la chanson),87,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
Jury Duty,88,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
"Galapagos Affair: Satan Came to Eden, The",89,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
Mala Noche,90,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
Death of a Salesman,91,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget
Sharknado 2: The Second One,92,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus
Fellini: I'm a Born Liar (Fellini: Je Suis um Grand Menteur),93,a suscipit nulla elit ac nulla sed vel enim sit amet
Skeleton Crew,94,ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Sundays and Cybele (Les dimanches de Ville d'Avray),95,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
Last Life in the Universe (Ruang rak noi nid mahasan),96,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo
Asterix: The Land of the Gods,97,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
Death and the Maiden,98,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
Strip Nude for Your Killer (Nude per l'assassino),99,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
Moon of the Wolf,100,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
Crazy on the Outside,101,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The)",102,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet
"Devil's Trap, The (Dáblova past)",103,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
"Funeral, The",104,pede ac diam cras pellentesque volutpat dui maecenas tristique est et
"Foul King, The (Banchikwang)",105,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
"Yoo-Hoo, Mrs. Goldberg",106,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
Spite Marriage,107,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
Tales from the Crypt Presents: Demon Knight,108,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Legend No. 17,109,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
Slumber Party Massacre III,110,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in
Life for Sale (Kotirauha),111,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
"Caretakers, The",112,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
